Wavelength (nm),Reflectance Factor (%)
894,94.850557
895,94.84178
896,94.839916
897,94.829304
898,94.846566
899,94.847754
900,94.813297
901,94.83177
902,94.838393
903,94.825452
904,94.813288
905,94.80249
906,94.843818
907,94.802862
908,94.793704
909,94.789951
910,94.79405
911,94.788632
912,94.758428
913,94.769596
914,94.74892
915,94.69146
916,94.7179
917,94.73246
918,94.735965
919,94.71677
920,94.709042
921,94.700236
922,94.716956
923,94.752909
924,94.720018
925,94.710187
926,94.63558
927,94.647334
928,94.72657
929,94.695407
930,94.615698
931,94.6393
932,94.74413
933,94.678178
934,94.680139
935,94.551485
936,94.724597
937,94.555627
938,94.641198
939,94.728682
940,94.650717
941,94.637683
942,94.623749
943,94.53507
944,94.632583
945,94.767962
946,94.741665
947,94.607928
948,94.503236
949,94.759928
950,94.799398
951,94.809156
952,94.475635
953,94.596729
954,94.866587
955,94.752014
956,94.625465
957,94.860914
958,94.678911
959,94.860128
960,94.662716
961,94.757716
962,94.839942
963,94.797199
964,94.711956
965,94.886848
966,94.68592
967,94.87307
968,94.694826
969,94.85664
970,94.714639
971,94.859104
972,94.665651
973,94.728558
974,94.8293
975,94.646248
976,94.856303
977,94.619581
978,94.763767
979,94.838537
980,94.62931
981,94.746914
982,94.736779
983,94.843951
984,94.674316
985,94.473197
986,94.905145
987,94.734379
988,94.683672
989,94.532962
990,94.623438
991,94.891365
992,94.692488
993,94.696755
994,94.648301
995,94.528484
996,94.670438
997,94.735672
998,94.58914
999,94.469493
1000,94.802569
1001,94.628343
1002,94.627395
1003,94.648486
1004,94.60827
1005,94.531073
1006,94.629914
1007,94.665534
1008,94.507273
1009,94.622441
1010,94.707902
1011,94.603563
1012,94.545785
1013,94.723388
1014,94.56337
1015,94.491021
1016,94.614755
1017,94.673548
1018,94.48219
1019,94.418458
1020,94.708095
1021,94.658117
1022,94.512705
1023,94.458777
1024,94.590184
1025,94.629436
1026,94.519022
1027,94.451653
1028,94.610815
1029,94.662997
1030,94.465669
1031,94.413954
1032,94.689693
1033,94.639973
1034,94.495903
1035,94.467884
1036,94.601936
1037,94.638363
1038,94.57916
1039,94.51156
1040,94.452829
1041,94.590635
1042,94.620227
1043,94.509064
1044,94.462035
1045,94.528841
1046,94.596367
1047,94.633326
1048,94.551458
1049,94.482927
1050,94.448736
1051,94.58479
1052,94.616836
1053,94.503194
1054,94.483147
1055,94.515451
1056,94.506203
1057,94.590724
1058,94.608877
1059,94.475354
1060,94.463346
1061,94.532289
1062,94.484864
1063,94.557078
1064,94.592644
1065,94.504212
1066,94.499399
1067,94.416568
1068,94.402936
1069,94.475989
1070,94.549903
1071,94.53938
1072,94.402277
1073,94.461843
1074,94.431445
1075,94.3939
1076,94.542498
1077,94.534901
1078,94.414285
1079,94.491889
1080,94.446358
1081,94.395198
1082,94.45736
1083,94.537773
1084,94.521624
1085,94.461093
1086,94.470507
1087,94.374092
1088,94.391906
1089,94.464653
1090,94.524317
1091,94.494382
1092,94.448955
1093,94.439447
1094,94.445577
1095,94.355698
1096,94.394753
1097,94.449547
1098,94.437094
1099,94.533306
1100,94.480939
1101,94.359676
1102,94.491706
1103,94.499315
1104,94.458449
1105,94.357573
1106,94.407426
1107,94.449986
1108,94.47911
1109,94.49924
1110,94.486738
1111,94.469603
1112,94.465615
1113,94.431829
1114,94.421831
1115,94.423258
1116,94.416972
1117,94.414153
1118,94.397582
1119,94.396401
1120,94.390716
1121,94.378772
1122,94.477999
1123,94.405089
1124,94.273848
1125,94.464423
1126,94.417947
1127,94.385786
1128,94.269112
1129,94.368271
1130,94.374589
1131,94.355255
1132,94.354652
1133,94.461411
1134,94.390873
1135,94.344625
1136,94.33696
1137,94.334954
1138,94.211645
1139,94.294153
1140,94.296589
1141,94.305752
1142,94.307796
1143,94.287404
1144,94.320524
1145,94.284176
1146,94.285565
1147,94.409855
1148,94.159238
1149,94.340637
1150,94.266313
